Flow_ID,Source_IP,Source_Port,Destination_IP,Destination_Port,Protocol,Timestamp,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,ProtocolName
172.19.1.46-10.200.7.7-52422-3128-6,172.19.1.46,52422,10.200.7.7,3128,6,26/04/201711:11:17,45523,22,55,132,110414,HTTP_PROXY
172.19.1.46-10.200.7.7-52422-3128-6,10.200.7.7,3128,172.19.1.46,52422,6,26/04/201711:11:17,1,2,0,12,0,HTTP_PROXY
10.200.7.217-50.31.185.39-38848-80-6,50.31.185.39,80,10.200.7.217,38848,6,26/04/201711:11:17,1,3,0,674,0,HTTP
10.200.7.217-50.31.185.39-38848-80-6,50.31.185.39,80,10.200.7.217,38848,6,26/04/201711:11:17,217,1,3,0,0,HTTP
192.168.72.43-10.200.7.7-55961-3128-6,192.168.72.43,55961,10.200.7.7,3128,6,26/04/201711:11:17,78068,5,0,1076,0,HTTP_PROXY
172.19.1.56-10.200.7.6-50004-3128-6,10.200.7.6,3128,172.19.1.56,50004,6,26/04/201711:11:17,105069,136,0,313554,0,HTTP_PROXY
192.168.72.43-10.200.7.7-55963-3128-6,192.168.72.43,55963,10.200.7.7,3128,6,26/04/201711:11:17,104443,5,0,1076,0,HTTP_PROXY
192.168.10.47-10.200.7.6-51848-3128-6,192.168.10.47,51848,10.200.7.6,3128,6,26/04/201711:11:17,11002,3,12,232,3664,HTTP_CONNECT
10.200.7.217-68.67.178.197-57300-443-6,68.67.178.197,443,10.200.7.217,57300,6,26/04/201711:11:17,108503,10,6,6904,1302,SSL
192.168.72.43-10.200.7.7-55977-3128-6,192.168.72.43,55977,10.200.7.7,3128,6,26/04/201711:11:17,118415,7,0,2210,0,GOOGLE
192.168.180.51-10.200.7.4-57740-3128-6,10.200.7.4,3128,192.168.180.51,57740,6,26/04/201711:11:17,205118,32,4,6494,3118,HTTP_PROXY
192.168.180.51-10.200.7.4-57740-3128-6,10.200.7.4,3128,192.168.180.51,57740,6,26/04/201711:11:17,3,5,0,9991,0,HTTP_PROXY
192.168.180.51-10.200.7.4-57740-3128-6,10.200.7.4,3128,192.168.180.51,57740,6,26/04/201711:11:17,131,3,0,5611,0,HTTP_PROXY
192.168.180.51-10.200.7.4-57740-3128-6,10.200.7.4,3128,192.168.180.51,57740,6,26/04/201711:11:17,6,3,0,5611,0,HTTP_PROXY
172.19.1.45-10.200.7.6-50227-3128-6,10.200.7.6,3128,172.19.1.45,50227,6,26/04/201711:11:17,108338,123,0,192822,0,HTTP_PROXY
212.124.124.94-10.200.7.194-443-44447-6,212.124.124.94,443,10.200.7.194,44447,6,26/04/201711:11:17,202096,4,6,174,3130,SSL
192.168.180.51-10.200.7.4-57741-3128-6,10.200.7.4,3128,192.168.180.51,57741,6,26/04/201711:11:17,202151,31,4,1861,3118,HTTP
192.168.180.51-10.200.7.4-57741-3128-6,10.200.7.4,3128,192.168.180.51,57741,6,26/04/201711:11:17,1,2,0,998,0,HTTP
192.168.180.51-10.200.7.4-57741-3128-6,10.200.7.4,3128,192.168.180.51,57741,6,26/04/201711:11:17,1,2,0,998,0,HTTP
172.217.30.13-10.200.7.217-443-41526-6,172.217.30.13,443,10.200.7.217,41526,6,26/04/201711:11:17,1,2,0,0,0,GOOGLE
172.217.30.13-10.200.7.217-443-41526-6,172.217.30.13,443,10.200.7.217,41526,6,26/04/201711:11:17,620,2,5,126,0,GOOGLE
192.168.180.37-10.200.7.9-1978-3128-6,10.200.7.9,3128,192.168.180.37,1978,6,26/04/201711:11:17,229417,64,13,55282,2010,HTTP
192.168.180.37-10.200.7.9-1978-3128-6,10.200.7.9,3128,192.168.180.37,1978,6,26/04/201711:11:17,13,2,0,0,0,HTTP
192.168.180.37-10.200.7.9-1978-3128-6,10.200.7.9,3128,192.168.180.37,1978,6,26/04/201711:11:17,94,2,0,0,0,HTTP
192.168.32.49-10.200.7.9-54500-3128-6,192.168.32.49,54500,10.200.7.9,3128,6,26/04/201711:11:17,10662,4,13,270,2802,GOOGLE
192.168.32.49-10.200.7.9-54500-3128-6,10.200.7.9,3128,192.168.32.49,54500,6,26/04/201711:11:17,100,2,0,12,0,HTTP
10.200.7.196-65.55.44.54-52798-443-6,65.55.44.54,443,10.200.7.196,52798,6,26/04/201711:11:17,275970,8,8,7701,1184,SSL
192.168.72.43-10.200.7.7-55991-3128-6,192.168.72.43,55991,10.200.7.7,3128,6,26/04/201711:11:17,120170,7,0,940,0,HTTP_PROXY
192.168.72.43-10.200.7.7-55989-3128-6,192.168.72.43,55989,10.200.7.7,3128,6,26/04/201711:11:17,169292,277,0,2360,0,HTTP_PROXY
192.168.180.51-10.200.7.4-57743-3128-6,192.168.180.51,57743,10.200.7.4,3128,6,26/04/201711:11:17,313980,7,41,3355,1989,HTTP_CONNECT
192.168.180.51-10.200.7.4-57743-3128-6,10.200.7.4,3128,192.168.180.51,57743,6,26/04/201711:11:17,486,3,0,1004,0,HTTP
192.168.180.51-10.200.7.4-57743-3128-6,10.200.7.4,3128,192.168.180.51,57743,6,26/04/201711:11:17,1807,1,2,6,12,HTTP
192.168.180.51-10.200.7.4-57742-3128-6,192.168.180.51,57742,10.200.7.4,3128,6,26/04/201711:11:17,332779,5,42,1664,2028,HTTP
192.168.180.51-10.200.7.4-57742-3128-6,10.200.7.4,3128,192.168.180.51,57742,6,26/04/201711:11:17,1,2,0,998,0,HTTP
192.168.180.51-10.200.7.4-57742-3128-6,192.168.180.51,57742,10.200.7.4,3128,6,26/04/201711:11:17,1291,2,0,12,0,HTTP
192.168.72.43-10.200.7.7-55994-3128-6,192.168.72.43,55994,10.200.7.7,3128,6,26/04/201711:11:17,39640,7,0,870,0,HTTP_PROXY
192.168.72.43-10.200.7.7-55980-3128-6,192.168.72.43,55980,10.200.7.7,3128,6,26/04/201711:11:17,247289,15,0,1388,0,YOUTUBE
179.1.4.251-10.200.7.217-443-37557-6,10.200.7.217,37557,179.1.4.251,443,6,26/04/201711:11:17,243047,21,17,922,9330,YOUTUBE
179.1.4.251-10.200.7.217-443-37557-6,10.200.7.217,37557,179.1.4.251,443,6,26/04/201711:11:17,10022,1,1,0,0,YOUTUBE
192.168.180.51-10.200.7.4-57744-3128-6,192.168.180.51,57744,10.200.7.4,3128,6,26/04/201711:11:17,316245,6,41,1992,1987,HTTP_CONNECT
192.168.72.43-10.200.7.7-55973-3128-6,192.168.72.43,55973,10.200.7.7,3128,6,26/04/201711:11:17,251594,8,0,1502,0,HTTP_PROXY
172.17.1.110-10.200.7.5-49450-3128-6,10.200.7.5,3128,172.17.1.110,49450,6,26/04/201711:11:18,46280,9,0,30,0,HTTP
172.17.1.110-10.200.7.5-49450-3128-6,10.200.7.5,3128,172.17.1.110,49450,6,26/04/201711:11:18,15,2,0,323,0,HTTP
192.168.180.37-10.200.7.9-1980-3128-6,192.168.180.37,1980,10.200.7.9,3128,6,26/04/201711:11:17,308270,14,73,2214,69631,HTTP_CONNECT
192.168.180.37-10.200.7.9-1980-3128-6,10.200.7.9,3128,192.168.180.37,1980,6,26/04/201711:11:18,80,5,1,0,0,HTTP
207.244.80.182-10.200.7.199-443-46617-6,10.200.7.199,46617,207.244.80.182,443,6,26/04/201711:11:17,302791,16,10,2070,14046,SSL
192.168.180.37-10.200.7.9-1980-3128-6,10.200.7.9,3128,192.168.180.37,1980,6,26/04/201711:11:18,1,2,0,0,0,HTTP
192.168.72.43-10.200.7.7-56001-3128-6,192.168.72.43,56001,10.200.7.7,3128,6,26/04/201711:11:18,84530,35,0,3006,0,HTTP_PROXY
151.101.64.84-10.200.7.196-443-38890-6,10.200.7.196,38890,151.101.64.84,443,6,26/04/201711:11:17,201725,6,7,1405,994,SSL
151.101.64.84-10.200.7.196-443-38890-6,10.200.7.196,38890,151.101.64.84,443,6,26/04/201711:11:18,130,4,0,0,0,SSL
